match_id,stage,group,home_team,away_team,kickoff
1,Group,A,QAT,ECU,2022-11-21T12:00:00+03:00
2,Group,A,SEN,NED,2022-11-22T12:00:00+03:00
3,Group,A,QAT,SEN,2022-11-23T12:00:00+03:00
4,Group,A,NED,ECU,2022-11-24T12:00:00+03:00
5,Group,A,ECU,SEN,2022-11-25T12:00:00+03:00
6,Group,A,NED,QAT,2022-11-26T12:00:00+03:00
7,Group,B,ENG,IRN,2022-11-27T12:00:00+03:00
8,Group,B,USA,WAL,2022-11-28T12:00:00+03:00
9,Group,B,WAL,IRN,2022-11-29T12:00:00+03:00
10,Group,B,ENG,USA,2022-11-20T12:00:00+03:00
11,Group,B,WAL,ENG,2022-11-21T12:00:00+03:00
12,Group,B,IRN,USA,2022-11-22T12:00:00+03:00
13,Group,C,ARG,KSA,2022-11-23T12:00:00+03:00
14,Group,C,MEX,POL,2022-11-24T12:00:00+03:00
15,Group,C,POL,KSA,2022-11-25T12:00:00+03:00
16,Group,C,ARG,MEX,2022-11-26T12:00:00+03:00
17,Group,C,POL,ARG,2022-11-27T12:00:00+03:00
18,Group,C,KSA,MEX,2022-11-28T12:00:00+03:00
19,Group,D,DEN,TUN,2022-11-29T12:00:00+03:00
20,Group,D,FRA,AUS,2022-11-20T12:00:00+03:00
21,Group,D,TUN,AUS,2022-11-21T12:00:00+03:00
22,Group,D,FRA,DEN,2022-11-22T12:00:00+03:00
23,Group,D,AUS,DEN,2022-11-23T12:00:00+03:00
24,Group,D,TUN,FRA,2022-11-24T12:00:00+03:00
25,Group,E,GER,JPN,2022-11-25T12:00:00+03:00
26,Group,E,ESP,CRC,2022-11-26T12:00:00+03:00
27,Group,E,JPN,CRC,2022-11-27T12:00:00+03:00
28,Group,E,ESP,GER,2022-11-28T12:00:00+03:00
29,Group,E,JPN,ESP,2022-11-29T12:00:00+03:00
30,Group,E,CRC,GER,2022-11-20T12:00:00+03:00
31,Group,F,MAR,CRO,2022-11-21T12:00:00+03:00
32,Group,F,BEL,CAN,2022-11-22T12:00:00+03:00
33,Group,F,BEL,MAR,2022-11-23T12:00:00+03:00
34,Group,F,CRO,CAN,2022-11-24T12:00:00+03:00
35,Group,F,CAN,MAR,2022-11-25T12:00:00+03:00
36,Group,F,CRO,BEL,2022-11-26T12:00:00+03:00
37,Group,G,SUI,CMR,2022-11-27T12:00:00+03:00
38,Group,G,BRA,SRB,2022-11-28T12:00:00+03:00
39,Group,G,CMR,SRB,2022-11-29T12:00:00+03:00
40,Group,G,BRA,SUI,2022-11-20T12:00:00+03:00
41,Group,G,CMR,BRA,2022-11-21T12:00:00+03:00
42,Group,G,SRB,SUI,2022-11-22T12:00:00+03:00
43,Group,H,URU,KOR,2022-11-23T12:00:00+03:00
44,Group,H,POR,GHA,2022-11-24T12:00:00+03:00
45,Group,H,KOR,GHA,2022-11-25T12:00:00+03:00
46,Group,H,POR,URU,2022-11-26T12:00:00+03:00
47,Group,H,GHA,URU,2022-11-27T12:00:00+03:00
48,Group,H,KOR,POR,2022-11-28T12:00:00+03:00
49,Round of 16,,1A,2B,2022-12-07T16:00:00+03:00
50,Round of 16,,1C,2D,2022-12-08T16:00:00+03:00
51,Round of 16,,1E,2F,2022-12-09T16:00:00+03:00
52,Round of 16,,1G,2H,2022-12-10T16:00:00+03:00
53,Round of 16,,1B,2A,2022-12-11T16:00:00+03:00
54,Round of 16,,1D,2C,2022-12-12T16:00:00+03:00
55,Round of 16,,1F,2E,2022-12-13T16:00:00+03:00
56,Round of 16,,1H,2G,2022-12-14T16:00:00+03:00
57,Quarterfinal,,Winner Match 49,Winner Match 50,2022-12-15T16:00:00+03:00
58,Quarterfinal,,Winner Match 51,Winner Match 52,2022-12-16T16:00:00+03:00
59,Quarterfinal,,Winner Match 53,Winner Match 54,2022-12-17T16:00:00+03:00
60,Quarterfinal,,Winner Match 55,Winner Match 56,2022-12-03T16:00:00+03:00
61,Semifinal,,Winner Match 57,Winner Match 58,2022-12-04T16:00:00+03:00
62,Semifinal,,Winner Match 59,Winner Match 60,2022-12-05T16:00:00+03:00
64,Final,,Winner Match 61,Winner Match 62,2022-12-07T16:00:00+03:00
