team_id,yellow_cards,red_cards,conduct_score,source
ARG,0,0,0.0,espn_summary
AUS,5,0,-5.0,espn_summary
AUT,1,0,-1.0,espn_summary
BEL,3,1,-7.0,espn_summary
BIH,5,1,-9.0,espn_summary
BRA,3,0,-3.0,espn_summary
CAN,3,0,-3.0,espn_summary
CIV,4,0,-4.0,espn_summary
COD,1,0,-1.0,espn_summary
COL,1,0,-1.0,espn_summary
CPV,2,0,-2.0,espn_summary
CRO,0,0,0.0,espn_summary
CUW,7,0,-7.0,espn_summary
CZE,1,0,-1.0,espn_summary
DZA,0,0,0.0,espn_summary
ECU,5,0,-5.0,espn_summary
EGY,5,0,-5.0,espn_summary
ENG,0,0,0.0,espn_summary
ESP,2,0,-2.0,espn_summary
FRA,1,0,-1.0,espn_summary
GER,1,0,-1.0,espn_summary
GHA,1,0,-1.0,espn_summary
HTI,4,0,-4.0,espn_summary
IRI,6,0,-6.0,espn_summary
IRQ,3,1,-7.0,espn_summary
JOR,0,0,0.0,espn_summary
JPN,1,0,-1.0,espn_summary
KOR,3,0,-3.0,espn_summary
KSA,6,0,-6.0,espn_summary
MAR,1,0,-1.0,espn_summary
MEX,1,1,-5.0,espn_summary
NED,3,0,-3.0,espn_summary
NOR,1,0,-1.0,espn_summary
NZL,2,0,-2.0,espn_summary
PAN,2,0,-2.0,espn_summary
PAR,7,1,-11.0,espn_summary
POR,3,0,-3.0,espn_summary
QAT,3,2,-11.0,espn_summary
RSA,4,2,-12.0,espn_summary
SCO,4,0,-4.0,espn_summary
SEN,2,0,-2.0,espn_summary
SUI,2,0,-2.0,espn_summary
SWE,5,0,-5.0,espn_summary
TUN,1,0,-1.0,espn_summary
TUR,2,0,-2.0,espn_summary
URU,3,1,-7.0,espn_summary
USA,5,0,-5.0,espn_summary
UZB,1,0,-1.0,espn_summary
