scenario_number,qualifying_groups,slot_74,slot_77,slot_79,slot_80,slot_81,slot_82,slot_85,slot_87,source_url
1,E-F-G-H-I-J-K-L,F,G,E,K,I,H,J,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
2,D-F-G-H-I-J-K-L,D,F,H,K,I,J,G,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
3,D-E-G-H-I-J-K-L,D,G,E,K,I,H,J,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
4,D-E-F-H-I-J-K-L,D,F,E,K,I,H,J,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
5,D-E-F-G-I-J-K-L,D,F,E,K,I,J,G,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
6,D-E-F-G-H-J-K-L,D,F,E,K,J,H,G,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
7,D-E-F-G-H-I-K-L,D,F,E,K,I,H,G,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
8,D-E-F-G-H-I-J-L,D,F,E,I,J,H,G,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
9,D-E-F-G-H-I-J-K,D,F,E,K,J,H,G,I,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
10,C-F-G-H-I-J-K-L,C,F,H,K,I,J,G,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
11,C-E-G-H-I-J-K-L,C,G,E,K,I,H,J,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
12,C-E-F-H-I-J-K-L,C,F,E,K,I,H,J,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
13,C-E-F-G-I-J-K-L,C,F,E,K,I,J,G,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
14,C-E-F-G-H-J-K-L,C,F,E,K,J,H,G,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
15,C-E-F-G-H-I-K-L,C,F,E,K,I,H,G,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
16,C-E-F-G-H-I-J-L,C,F,E,I,J,H,G,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
